Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
32,CA-2017-176691,02/15/2016,02/17/2016,Standard Class,ZU-12417,Zuschuss Donatelli,Consumer,United States,Fort Lauderdale,Florida,33311,East,TEC-AC-10009169,Technology,Accessories,Logitech Wireless Headset,412.13
33,CA-2016-138716,02/16/2016,02/21/2016,Standard Class,ZU-72848,Zuschuss Donatelli,Consumer,United States,San Francisco,California,90036,East,OFF-LA-10001823,Office Supplies,Labels,Self-Adhesive Address Labels,46.24
34,CA-2017-179040,02/17/2016,02/23/2016,Standard Class,RU-68371,Ruben Hope,Home Office,United States,Tacoma,Washington,98103,East,FUR-TA-10005004,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,122.09
35,CA-2018-159713,02/17/2016,02/20/2016,Standard Class,SA-40363,Sandra Flanagan,Consumer,United States,Austin,Texas,77041,East,OFF-AP-10003093,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,49.05
36,CA-2017-191449,02/17/2016,02/21/2016,Second Class,AL-44317,Alejandro Grove,Consumer,United States,Los Angeles,California,90036,West,TEC-PH-10001114,Technology,Phones,Samsung Galaxy S4,198.14
37,CA-2018-181579,02/17/2016,02/22/2016,First Class,SE-41759,Sean O'Donnell,Corporate,United States,Spokane,Washington,98103,South,FUR-FU-10004501,Furniture,Furnishings,Eldon Expressions Desk Organizer,209.6
38,CA-2016-193327,02/18/2016,02/21/2016,Standard Class,ZU-57488,Zuschuss Donatelli,Home Office,United States,Fort Lauderdale,Florida,33311,East,TEC-CO-10005104,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,268.93
39,CA-2018-124431,02/18/2016,02/24/2016,First Class,CL-75613,Claire Gute,Consumer,United States,Miami,Florida,33311,South,TEC-PH-10004393,Technology,Phones,Samsung Galaxy S4,452.84
40,CA-2017-137434,02/19/2016,02/21/2016,Standard Class,KE-23383,Ken Lonsdale,Corporate,United States,Albany,New York,10008,South,TEC-AC-10004975,Technology,Accessories,Logitech Wireless Headset,728.44
41,CA-2018-168524,02/19/2016,02/25/2016,Standard Class,AL-97754,Alejandro Grove,Corporate,United States,Seattle,Washington,98103,East,TEC-CO-10007859,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,682.32
42,CA-2016-125110,02/20/2016,02/26/2016,Standard Class,ZU-95640,Zuschuss Donatelli,Corporate,United States,Spokane,Washington,98103,East,TEC-CO-10009135,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,800.69
43,CA-2016-139710,02/23/2016,02/27/2016,First Class,SE-57295,Sean O'Donnell,Home Office,United States,Los Angeles,California,90036,West,OFF-AR-10002735,Office Supplies,Art,Newell 318 Art Markers,30.85
44,CA-2017-111068,02/26/2016,03/03/2016,Standard Class,SE-30827,Sean O'Donnell,Consumer,United States,Miami,Florida,33311,Central,OFF-BI-10002689,Office Supplies,Binders,Ibico Standard Binders,44.79
45,CA-2018-191290,02/29/2016,03/02/2016,Second Class,DA-65343,Darrin Van Huff,Corporate,United States,Fort Lauderdale,Florida,33311,Central,FUR-FU-10006452,Furniture,Furnishings,Eldon Expressions Desk Organizer,119.68
46,CA-2017-132351,03/01/2016,03/07/2016,Standard Class,RU-19939,Ruben Hope,Consumer,United States,Naperville,Illinois,60610,West,FUR-TA-10007511,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,339.52
47,CA-2018-178453,03/03/2016,03/09/2016,First Class,HA-65813,Harold Pawlan,Consumer,United States,Peoria,Illinois,60610,West,OFF-LA-10009890,Office Supplies,Labels,Self-Adhesive Address Labels,51.06
48,CA-2016-166297,03/06/2016,03/10/2016,Standard Class,SA-73625,Sandra Flanagan,Home Office,United States,San Diego,California,90036,East,TEC-PH-10001949,Technology,Phones,Samsung Galaxy S4,302.81
49,CA-2018-192736,03/07/2016,03/13/2016,First Class,DA-96766,Darrin Van Huff,Home Office,United States,Tacoma,Washington,98103,West,OFF-PA-10008254,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,39.58
50,CA-2018-170950,03/13/2016,03/19/2016,Standard Class,HA-83151,Harold Pawlan,Consumer,United States,San Francisco,California,90036,East,OFF-PA-10005157,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,49.36
51,CA-2016-167213,03/15/2016,03/20/2016,Standard Class,IR-89597,Irene Maddox,Consumer,United States,Fort Lauderdale,Florida,33311,Central,TEC-PH-10007431,Technology,Phones,Samsung Galaxy S4,445.03
52,CA-2016-162681,03/16/2016,03/21/2016,First Class,SE-70541,Sean O'Donnell,Consumer,United States,San Francisco,California,90036,South,FUR-FU-10001844,Furniture,Furnishings,Eldon Expressions Desk Organizer,428.61
53,CA-2018-198119,03/17/2016,03/21/2016,Standard Class,IR-10110,Irene Maddox,Corporate,United States,Houston,Texas,77041,East,OFF-AR-10005115,Office Supplies,Art,Newell 318 Art Markers,27.72
54,CA-2017-144057,03/19/2016,03/25/2016,Standard Class,AL-16465,Alejandro Grove,Consumer,United States,Austin,Texas,77041,East,FUR-BO-10005531,Furniture,Bookcases,Bush Somerset Collection Bookcase,370.46
55,CA-2018-119911,03/19/2016,03/24/2016,Second Class,SE-18791,Sean O'Donnell,Corporate,United States,Dallas,Texas,77041,East,FUR-TA-10003497,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,368.99
56,CA-2018-110842,03/21/2016,03/24/2016,Second Class,CL-12592,Claire Gute,Home Office,United States,Miami,Florida,33311,South,TEC-PH-10006641,Technology,Phones,Samsung Galaxy S4,514.31
57,CA-2017-190761,03/23/2016,03/25/2016,Second Class,PE-70133,Pete Kriz,Home Office,United States,Chicago,Illinois,60610,South,FUR-CH-10006205,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,447.86
58,CA-2016-172046,03/24/2016,03/28/2016,First Class,BR-84867,Brosina Hoffman,Consumer,United States,San Francisco,California,90036,West,TEC-MA-10007938,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,306.93
59,CA-2017-115877,03/25/2016,03/29/2016,Standard Class,SA-48228,Sandra Flanagan,Consumer,United States,Austin,Texas,77041,Central,TEC-AC-10001433,Technology,Accessories,Logitech Wireless Headset,542.23
60,CA-2017-136136,03/26/2016,03/28/2016,Standard Class,SA-15665,Sandra Flanagan,Consumer,United States,Peoria,Illinois,60610,East,TEC-MA-10003929,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,111.93
61,CA-2018-156288,03/27/2016,04/02/2016,Second Class,BR-80657,Brosina Hoffman,Consumer,United States,Chicago,Illinois,60610,Central,TEC-CO-10006809,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,576.68
62,CA-2016-117438,03/28/2016,03/31/2016,First Class,CL-53755,Claire Gute,Home Office,United States,New York City,New York,10008,West,FUR-FU-10001956,Furniture,Furnishings,Eldon Expressions Desk Organizer,393.42
63,CA-2016-156820,03/29/2016,04/04/2016,Standard Class,IR-26008,Irene Maddox,Home Office,United States,Buffalo,New York,10008,South,OFF-PA-10008591,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,46.94
64,CA-2017-124907,03/29/2016,04/03/2016,Standard Class,AL-87219,Alejandro Grove,Home Office,United States,New York City,New York,10008,West,OFF-PA-10001292,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,49.93
65,CA-2016-143311,03/30/2016,04/04/2016,Standard Class,CL-69975,Claire Gute,Consumer,United States,Tacoma,Washington,98103,West,OFF-AP-10004786,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,16.99
66,CA-2016-117802,03/31/2016,04/02/2016,Standard Class,HA-24271,Harold Pawlan,Consumer,United States,San Diego,California,90036,South,FUR-TA-10001476,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,335.47
67,CA-2018-133117,04/02/2016,04/08/2016,Standard Class,KE-19372,Ken Lonsdale,Consumer,United States,Seattle,Washington,98103,West,FUR-BO-10004553,Furniture,Bookcases,Bush Somerset Collection Bookcase,68.59
68,CA-2018-157588,04/03/2016,04/07/2016,First Class,RU-73092,Ruben Hope,Home Office,United States,San Francisco,California,90036,South,FUR-BO-10001611,Furniture,Bookcases,Bush Somerset Collection Bookcase,284.1
69,CA-2016-125943,04/06/2016,04/08/2016,Second Class,CL-34657,Claire Gute,Home Office,United States,Los Angeles,California,90036,West,OFF-AP-10003555,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,46.38
70,CA-2017-159134,04/08/2016,04/10/2016,Standard Class,SA-59503,Sandra Flanagan,Home Office,United States,Tampa,Florida,33311,South,OFF-ST-10006672,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,17.98
71,CA-2018-117547,04/10/2016,04/12/2016,Standard Class,SE-64853,Sean O'Donnell,Consumer,United States,Seattle,Washington,98103,South,TEC-PH-10003350,Technology,Phones,Samsung Galaxy S4,214.12
72,CA-2018-174768,04/11/2016,04/14/2016,Standard Class,BR-98703,Brosina Hoffman,Consumer,United States,Spokane,Washington,98103,East,FUR-TA-10001113,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,133.9
73,CA-2018-179714,04/12/2016,04/15/2016,First Class,HA-72423,Harold Pawlan,Home Office,United States,Buffalo,New York,10008,West,OFF-AR-10007824,Office Supplies,Art,Newell 318 Art Markers,22.4
74,CA-2016-164557,04/17/2016,04/20/2016,First Class,DA-63740,Darrin Van Huff,Consumer,United States,Tampa,Florida,33311,West,FUR-CH-10002724,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,308.24
75,CA-2016-136105,04/18/2016,04/20/2016,Standard Class,CL-17046,Claire Gute,Consumer,United States,Fort Lauderdale,Florida,33311,East,OFF-PA-10001427,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,44.72
76,CA-2016-170226,04/20/2016,04/22/2016,First Class,PE-68329,Pete Kriz,Consumer,United States,Houston,Texas,77041,West,FUR-FU-10007617,Furniture,Furnishings,Eldon Expressions Desk Organizer,178.52
77,CA-2016-143521,04/21/2016,04/23/2016,Same Day,SA-98050,Sandra Flanagan,Consumer,United States,San Diego,California,90036,West,FUR-CH-10001531,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,223.09
78,CA-2016-189232,04/23/2016,04/29/2016,Second Class,ZU-66639,Zuschuss Donatelli,Corporate,United States,Buffalo,New York,10008,Central,OFF-AR-10009916,Office Supplies,Art,Newell 318 Art Markers,2.88
79,CA-2018-136309,04/24/2016,04/26/2016,Standard Class,BR-19597,Brosina Hoffman,Consumer,United States,Miami,Florida,33311,East,OFF-PA-10009530,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,2.9
80,CA-2018-133456,04/28/2016,05/02/2016,Second Class,CL-78226,Claire Gute,Consumer,United States,Seattle,Washington,98103,South,FUR-CH-10001853,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,327.06
81,CA-2017-130472,04/30/2016,05/02/2016,First Class,ZU-72469,Zuschuss Donatelli,Consumer,United States,Los Angeles,California,90036,West,FUR-BO-10006396,Furniture,Bookcases,Bush Somerset Collection Bookcase,253.8
82,CA-2016-173163,05/01/2016,05/04/2016,Standard Class,ZU-76304,Zuschuss Donatelli,Consumer,United States,Tacoma,Washington,98103,East,FUR-FU-10005294,Furniture,Furnishings,Eldon Expressions Desk Organizer,262.03
83,CA-2018-190852,05/02/2016,05/05/2016,Standard Class,BR-64274,Brosina Hoffman,Home Office,United States,Los Angeles,California,90036,West,FUR-FU-10009677,Furniture,Furnishings,Eldon Expressions Desk Organizer,322.97
84,CA-2018-174826,05/04/2016,05/07/2016,First Class,ZU-42171,Zuschuss Donatelli,Consumer,United States,Albany,New York,10008,South,TEC-AC-10009451,Technology,Accessories,Logitech Wireless Headset,561.34
85,CA-2016-164807,05/07/2016,05/13/2016,Second Class,SA-74708,Sandra Flanagan,Home Office,United States,Tampa,Florida,33311,East,FUR-BO-10008066,Furniture,Bookcases,Bush Somerset Collection Bookcase,363.16
86,CA-2016-141140,05/07/2016,05/11/2016,Second Class,ZU-97455,Zuschuss Donatelli,Consumer,United States,Naperville,Illinois,60610,South,FUR-TA-10001056,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,151.52
87,CA-2016-120299,05/08/2016,05/12/2016,Second Class,SE-19978,Sean O'Donnell,Consumer,United States,Buffalo,New York,10008,West,OFF-AR-10005412,Office Supplies,Art,Newell 318 Art Markers,10.11
88,CA-2017-123497,05/08/2016,05/11/2016,Standard Class,AL-51631,Alejandro Grove,Home Office,United States,Dallas,Texas,77041,West,OFF-PA-10004738,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,22.44
89,CA-2018-179408,05/10/2016,05/12/2016,Second Class,AL-44695,Alejandro Grove,Consumer,United States,San Diego,California,90036,West,TEC-MA-10007506,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,593.45
90,CA-2018-134398,05/11/2016,05/17/2016,Standard Class,PE-34094,Pete Kriz,Consumer,United States,Naperville,Illinois,60610,West,FUR-BO-10007481,Furniture,Bookcases,Bush Somerset Collection Bookcase,238.58
91,CA-2016-148103,05/12/2016,05/17/2016,Standard Class,SA-67704,Sandra Flanagan,Corporate,United States,Los Angeles,California,90036,West,FUR-CH-10009480,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,331.22
92,CA-2017-132605,05/13/2016,05/18/2016,Standard Class,KE-94499,Ken Lonsdale,Corporate,United States,Los Angeles,California,90036,East,FUR-TA-10008188,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,286.77
93,CA-2018-172539,05/16/2016,05/22/2016,Standard Class,HA-62247,Harold Pawlan,Home Office,United States,Spokane,Washington,98103,East,OFF-LA-10002998,Office Supplies,Labels,Self-Adhesive Address Labels,32.18
94,CA-2017-170476,05/18/2016,05/22/2016,Second Class,CL-12208,Claire Gute,Consumer,United States,Houston,Texas,77041,West,OFF-BI-10007586,Office Supplies,Binders,Ibico Standard Binders,10.5
95,CA-2016-114900,05/19/2016,05/23/2016,Same Day,HA-60101,Harold Pawlan,Corporate,United States,Tampa,Florida,33311,Central,TEC-CO-10008002,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,414.21
96,CA-2018-135959,05/19/2016,05/23/2016,Standard Class,RU-38379,Ruben Hope,Consumer,United States,Austin,Texas,77041,West,TEC-CO-10002967,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,389.52
97,CA-2016-117552,05/25/2016,05/28/2016,First Class,IR-25343,Irene Maddox,Consumer,United States,Fort Lauderdale,Florida,33311,South,TEC-PH-10002851,Technology,Phones,Samsung Galaxy S4,476.71
98,CA-2017-145136,05/26/2016,05/29/2016,Second Class,DA-44278,Darrin Van Huff,Consumer,United States,Miami,Florida,33311,Central,FUR-TA-10008853,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,477.08
99,CA-2017-174687,05/26/2016,05/30/2016,Second Class,CL-29562,Claire Gute,Home Office,United States,Naperville,Illinois,60610,West,OFF-PA-10005474,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,55.98
100,CA-2018-126343,05/27/2016,06/02/2016,Standard Class,IR-71950,Irene Maddox,Consumer,United States,Austin,Texas,77041,East,TEC-CO-10002203,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,445.52
101,CA-2018-126557,05/31/2016,06/03/2016,First Class,IR-62265,Irene Maddox,Corporate,United States,Los Angeles,California,90036,South,OFF-BI-10004916,Office Supplies,Binders,Ibico Standard Binders,53.79
102,CA-2017-152510,06/01/2016,06/05/2016,Standard Class,RU-23997,Ruben Hope,Consumer,United States,Dallas,Texas,77041,West,TEC-MA-10001016,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,351.72
103,CA-2017-153002,06/01/2016,06/05/2016,Standard Class,PE-34504,Pete Kriz,Corporate,United States,San Diego,California,90036,Central,OFF-AP-10002975,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,55.74
104,CA-2016-160543,06/02/2016,06/08/2016,Standard Class,RU-96193,Ruben Hope,Corporate,United States,Austin,Texas,77041,East,FUR-FU-10004672,Furniture,Furnishings,Eldon Expressions Desk Organizer,320.54
105,CA-2018-121919,06/03/2016,06/09/2016,First Class,AL-19487,Alejandro Grove,Home Office,United States,Naperville,Illinois,60610,West,FUR-BO-10005305,Furniture,Bookcases,Bush Somerset Collection Bookcase,322.92
106,CA-2018-121524,06/05/2016,06/10/2016,Standard Class,ZU-17894,Zuschuss Donatelli,Consumer,United States,Peoria,Illinois,60610,East,FUR-FU-10009158,Furniture,Furnishings,Eldon Expressions Desk Organizer,270.82
107,CA-2018-114475,06/07/2016,06/10/2016,Standard Class,CL-19059,Claire Gute,Home Office,United States,Los Angeles,California,90036,West,FUR-TA-10009139,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,375.17
108,CA-2018-118250,06/10/2016,06/12/2016,Standard Class,DA-18166,Darrin Van Huff,Consumer,United States,Dallas,Texas,77041,East,TEC-AC-10007437,Technology,Accessories,Logitech Wireless Headset,554.24
109,CA-2017-135174,06/10/2016,06/15/2016,Standard Class,CL-19356,Claire Gute,Home Office,United States,Tacoma,Washington,98103,West,FUR-TA-10007409,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,484.3
110,CA-2017-150131,06/10/2016,06/15/2016,Standard Class,IR-34939,Irene Maddox,Consumer,United States,Dallas,Texas,77041,West,FUR-BO-10001833,Furniture,Bookcases,Bush Somerset Collection Bookcase,338.53
111,CA-2017-148058,06/11/2016,06/13/2016,Standard Class,BR-88272,Brosina Hoffman,Home Office,United States,Chicago,Illinois,60610,East,FUR-BO-10008527,Furniture,Bookcases,Bush Somerset Collection Bookcase,293.6
112,CA-2018-137538,06/13/2016,06/16/2016,Second Class,DA-34787,Darrin Van Huff,Consumer,United States,Naperville,Illinois,60610,East,OFF-ST-10005256,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,55.75
113,CA-2016-130444,06/16/2016,06/22/2016,Standard Class,IR-53929,Irene Maddox,Consumer,United States,Buffalo,New York,10008,East,TEC-MA-10005232,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,511.93
114,CA-2016-189787,06/17/2016,06/23/2016,Second Class,SE-42164,Sean O'Donnell,Home Office,United States,Dallas,Texas,77041,East,OFF-AP-10003487,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,23.52
115,CA-2018-147064,06/18/2016,06/22/2016,Standard Class,IR-78166,Irene Maddox,Corporate,United States,Dallas,Texas,77041,West,OFF-PA-10008858,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,42.52
116,CA-2016-142733,06/18/2016,06/22/2016,Standard Class,AL-53013,Alejandro Grove,Consumer,United States,San Francisco,California,90036,West,OFF-AP-10002835,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,38.02
117,CA-2016-182052,06/20/2016,06/23/2016,Standard Class,KE-65354,Ken Lonsdale,Consumer,United States,Spokane,Washington,98103,West,OFF-BI-10001304,Office Supplies,Binders,Ibico Standard Binders,51.6
118,CA-2018-178022,06/22/2016,06/26/2016,Standard Class,RU-17941,Ruben Hope,Consumer,United States,Austin,Texas,77041,East,OFF-AR-10003644,Office Supplies,Art,Newell 318 Art Markers,49.72
119,CA-2016-181239,06/22/2016,06/24/2016,Standard Class,SA-61091,Sandra Flanagan,Consumer,United States,Seattle,Washington,98103,Central,TEC-CO-10007329,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,357.41
120,CA-2016-165355,06/23/2016,06/26/2016,First Class,SE-76847,Sean O'Donnell,Consumer,United States,Spokane,Washington,98103,West,OFF-ST-10004410,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,73.06
121,CA-2017-196849,06/24/2016,06/28/2016,Standard Class,KE-77967,Ken Lonsdale,Consumer,United States,Miami,Florida,33311,West,FUR-FU-10004700,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,22638.48
122,CA-2017-150007,06/30/2016,07/04/2016,Standard Class,SA-38973,Sandra Flanagan,Corporate,United States,Spokane,Washington,98103,West,OFF-LA-10005603,Office Supplies,Labels,Self-Adhesive Address Labels,34.49
123,CA-2017-127205,07/04/2016,07/07/2016,Standard Class,AL-17550,Alejandro Grove,Corporate,United States,San Francisco,California,90036,East,OFF-AR-10002827,Office Supplies,Art,Newell 318 Art Markers,28.26
124,CA-2016-114260,07/05/2016,07/07/2016,Same Day,SA-92072,Sandra Flanagan,Corporate,United States,Naperville,Illinois,60610,West,OFF-PA-10005354,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,54.69
